GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
0500000US06037,"Los Angeles County, California",10038388,10038388,4945351,49.3,5093037,50.7,7716214,76.9,7272189,72.4,1478442,14.7,7716214,7716214,3758695,48.7,3957519,51.3,2015
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",4824,4824,2372,49.2,2452,50.8,3855,79.9,3637,75.4,781,16.2,3855,3855,1901,49.3,1954,50.7,2015
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3291,3291,1590,48.3,1701,51.7,2774,84.3,2713,82.4,722,21.9,2774,2774,1406,50.7,1368,49.3,2015
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",5882,5882,3032,51.5,2850,48.5,4706,80.0,4424,75.2,661,11.2,4706,4706,2410,51.2,2296,48.8,2015
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",2902,2902,1360,46.9,1542,53.1,2353,81.1,2292,79.0,521,18.0,2353,2353,1055,44.8,1298,55.2,2015
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",4410,4410,2157,48.9,2253,51.1,3782,85.8,3751,85.1,1183,26.8,3782,3782,1821,48.1,1961,51.9,2015
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",4109,4109,1944,47.3,2165,52.7,3336,81.2,3175,77.3,788,19.2,3336,3336,1612,48.3,1724,51.7,2015
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1850,1850,809,43.7,1041,56.3,1584,85.6,1545,83.5,395,21.4,1584,1584,722,45.6,862,54.4,2015
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3481,3481,1708,49.1,1773,50.9,3029,87.0,2808,80.7,792,22.8,3029,3029,1433,47.3,1596,52.7,2015
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1942,1942,980,50.5,962,49.5,1567,80.7,1443,74.3,197,10.1,1567,1567,827,52.8,740,47.2,2015
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",3932,3932,2109,53.6,1823,46.4,3257,82.8,3079,78.3,1000,25.4,3257,3257,1737,53.3,1520,46.7,2015
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2798,2798,1561,55.8,1237,44.2,2302,82.3,2200,78.6,489,17.5,2302,2302,1214,52.7,1088,47.3,2015
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4865,4865,2139,44.0,2726,56.0,3956,81.3,3821,78.5,797,16.4,3956,3956,1707,43.1,2249,56.9,2015
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",6299,6299,3611,57.3,2688,42.7,5199,82.5,5061,80.3,1539,24.4,5199,5199,2974,57.2,2225,42.8,2015
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3293,3293,1689,51.3,1604,48.7,2814,85.5,2747,83.4,686,20.8,2814,2814,1336,47.5,1478,52.5,2015
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",6658,6658,3280,49.3,3378,50.7,5505,82.7,5262,79.0,1223,18.4,5505,5505,2583,46.9,2922,53.1,2015
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",4019,4019,1915,47.6,2104,52.4,3035,75.5,2713,67.5,629,15.7,3035,3035,1494,49.2,1541,50.8,2015
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",5839,5839,2764,47.3,3075,52.7,4112,70.4,3759,64.4,651,11.1,4112,4112,1943,47.3,2169,52.7,2015
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",4917,4917,2387,48.5,2530,51.5,3647,74.2,3374,68.6,515,10.5,3647,3647,1832,50.2,1815,49.8,2015
