GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
1400000US06037702700,"Census Tract 7027, Los Angeles County, California",3693,3693,1698,46.0,1995,54.0,2752,74.5,2649,71.7,697,18.9,2752,2752,1334,48.5,1418,51.5,2014
1400000US06037702801,"Census Tract 7028.01, Los Angeles County, California",5419,5419,2585,47.7,2834,52.3,4307,79.5,4068,75.1,921,17.0,4307,4307,2040,47.4,2267,52.6,2014
1400000US06037702802,"Census Tract 7028.02, Los Angeles County, California",2322,2322,1302,56.1,1020,43.9,1902,81.9,1827,78.7,336,14.5,1902,1902,1118,58.8,784,41.2,2014
1400000US06037702803,"Census Tract 7028.03, Los Angeles County, California",3054,3054,1461,47.8,1593,52.2,2499,81.8,2463,80.6,480,15.7,2499,2499,1196,47.9,1303,52.1,2014
1400000US06037702901,"Census Tract 7029.01, Los Angeles County, California",9157,9157,4485,49.0,4672,51.0,8356,91.3,8305,90.7,1744,19.0,8356,8356,4218,50.5,4138,49.5,2014
1400000US06037703001,"Census Tract 7030.01, Los Angeles County, California",5598,5598,2727,48.7,2871,51.3,4681,83.6,4550,81.3,907,16.2,4681,4681,2225,47.5,2456,52.5,2014
1400000US06037703002,"Census Tract 7030.02, Los Angeles County, California",7662,7662,3458,45.1,4204,54.9,6053,79.0,5877,76.7,1924,25.1,6053,6053,2645,43.7,3408,56.3,2014
1400000US06037703100,"Census Tract 7031, Los Angeles County, California",5355,5355,2560,47.8,2795,52.2,4390,82.0,4385,81.9,1186,22.1,4390,4390,2058,46.9,2332,53.1,2014
1400000US06037703200,"Census Tract 7032, Los Angeles County, California",6019,6019,2708,45.0,3311,55.0,4742,78.8,4506,74.9,1396,23.2,4742,4742,2080,43.9,2662,56.1,2014
1400000US06037800101,"Census Tract 8001.01, Los Angeles County, California",5379,5379,2614,48.6,2765,51.4,4286,79.7,4063,75.5,1142,21.2,4286,4286,2099,49.0,2187,51.0,2014
