GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
1400000US06037111400,"Census Tract 1114, Los Angeles County, California",83337,2019
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",108209,2019
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",207465,2019
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",105252,2019
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",113185,2019
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",107471,2019
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",126982,2019
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",148549,2019
1400000US06037113233,"Census Tract 1132.33, Los Angeles County, California",61164,2019
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",103764,2019
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",97943,2019
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",114217,2019
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",119009,2019
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",109833,2019
1400000US06037113321,"Census Tract 1133.21, Los Angeles County, California",82316,2019
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",108766,2019
1400000US06037113401,"Census Tract 1134.01, Los Angeles County, California",99724,2019
1400000US06037113421,"Census Tract 1134.21, Los Angeles County, California",69887,2019
1400000US06037113422,"Census Tract 1134.22, Los Angeles County, California",87220,2019
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",163871,2019
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",47357,2019
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",82313,2019
1400000US06037115201,"Census Tract 1152.01, Los Angeles County, California",84351,2019
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",86470,2019
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",118174,2019
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",67514,2019
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",91881,2019
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",64861,2019
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",79164,2019
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",98248,2019
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",82495,2019
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",74463,2019
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",112794,2019
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",110536,2019
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",120086,2019
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",101329,2019
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",108563,2019
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",44390,2019
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",37973,2019
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",48029,2019
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",109113,2019
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",46126,2019
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",67919,2019
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",90391,2019
1400000US06037119002,"Census Tract 1190.02, Los Angeles County, California",98437,2019
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",97446,2019
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",72464,2019
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",74671,2019
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",71727,2019
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",39131,2019
