GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",109556,2021
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",93301,2021
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",124492,2021
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",93535,2021
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",76859,2021
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",60140,2021
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",111596,2021
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",87140,2021
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",94891,2021
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",112255,2021
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",100427,2021
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",97853,2021
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",115047,2021
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",99314,2021
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",102846,2021
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",134175,2021
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",162826,2021
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",111364,2021
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",104685,2021
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",108734,2021
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",89980,2021
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",86652,2021
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",83861,2021
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",102046,2021
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",73787,2021
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",76829,2021
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",96818,2021
1400000US06037104321,"Census Tract 1043.21, Los Angeles County, California",78814,2021
1400000US06037104322,"Census Tract 1043.22, Los Angeles County, California",72379,2021
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",73992,2021
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",131808,2021
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",74860,2021
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",85553,2021
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",81186,2021
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",88047,2021
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",56450,2021
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",68083,2021
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",74379,2021
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",69660,2021
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",78043,2021
1400000US06037104823,"Census Tract 1048.23, Los Angeles County, California",85419,2021
1400000US06037104824,"Census Tract 1048.24, Los Angeles County, California",108207,2021
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",115274,2021
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",105285,2021
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",117630,2021
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",105210,2021
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",107037,2021
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",80145,2021
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",98938,2021
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",93046,2021
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",110115,2021
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",55000,2021
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",66000,2021
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",87679,2021
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",84355,2021
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",134015,2021
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",88690,2021
