GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",2922,2922,1621,55.5,1301,44.5,2035,69.6,1944,66.5,324,11.1,2035,2035,1114,54.7,921,45.3,2016
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",2922,2922,1418,48.5,1504,51.5,2254,77.1,2131,72.9,441,15.1,2254,2254,1097,48.7,1157,51.3,2016
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",3337,3337,1777,53.3,1560,46.7,2476,74.2,2288,68.6,377,11.3,2476,2476,1359,54.9,1117,45.1,2016
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",3411,3411,1738,51.0,1673,49.0,2447,71.7,2260,66.3,450,13.2,2447,2447,1324,54.1,1123,45.9,2016
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",4028,4028,1840,45.7,2188,54.3,2561,63.6,2289,56.8,286,7.1,2561,2561,1144,44.7,1417,55.3,2016
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",2339,2339,1259,53.8,1080,46.2,1463,62.5,1359,58.1,180,7.7,1463,1463,855,58.4,608,41.6,2016
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",4140,4140,2021,48.8,2119,51.2,2949,71.2,2705,65.3,262,6.3,2949,2949,1403,47.6,1546,52.4,2016
1400000US06037104810,"Census Tract 1048.10, Los Angeles County, California",6034,6034,3047,50.5,2987,49.5,4399,72.9,4078,67.6,730,12.1,4399,4399,2275,51.7,2124,48.3,2016
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",3151,3151,1575,50.0,1576,50.0,2374,75.3,2083,66.1,350,11.1,2374,2374,1162,48.9,1212,51.1,2016
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",2477,2477,1229,49.6,1248,50.4,1789,72.2,1639,66.2,219,8.8,1789,1789,887,49.6,902,50.4,2016
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",3334,3334,1540,46.2,1794,53.8,2482,74.4,2392,71.7,511,15.3,2482,2482,1218,49.1,1264,50.9,2016
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",6323,6323,3042,48.1,3281,51.9,4850,76.7,4610,72.9,937,14.8,4850,4850,2476,51.1,2374,48.9,2016
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",4794,4794,2477,51.7,2317,48.3,3654,76.2,3543,73.9,852,17.8,3654,3654,1823,49.9,1831,50.1,2016
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",5861,5861,2956,50.4,2905,49.6,4220,72.0,3961,67.6,809,13.8,4220,4220,2045,48.5,2175,51.5,2016
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",3502,3502,1925,55.0,1577,45.0,2661,76.0,2512,71.7,625,17.8,2661,2661,1411,53.0,1250,47.0,2016
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",6451,6451,3072,47.6,3379,52.4,4409,68.3,4062,63.0,471,7.3,4409,4409,2076,47.1,2333,52.9,2016
1400000US06037106403,"Census Tract 1064.03, Los Angeles County, California",3609,3609,1671,46.3,1938,53.7,2682,74.3,2556,70.8,429,11.9,2682,2682,1215,45.3,1467,54.7,2016
1400000US06037106405,"Census Tract 1064.05, Los Angeles County, California",4264,4264,1975,46.3,2289,53.7,3041,71.3,2856,67.0,403,9.5,3041,3041,1402,46.1,1639,53.9,2016
1400000US06037106406,"Census Tract 1064.06, Los Angeles County, California",5508,5508,2511,45.6,2997,54.4,4100,74.4,3888,70.6,776,14.1,4100,4100,1936,47.2,2164,52.8,2016
1400000US06037106407,"Census Tract 1064.07, Los Angeles County, California",3077,3077,1468,47.7,1609,52.3,2174,70.7,2039,66.3,465,15.1,2174,2174,927,42.6,1247,57.4,2016
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",3644,3644,1816,49.8,1828,50.2,2415,66.3,2149,59.0,181,5.0,2415,2415,1113,46.1,1302,53.9,2016
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",5178,5178,2763,53.4,2415,46.6,3821,73.8,3668,70.8,791,15.3,3821,3821,1903,49.8,1918,50.2,2016
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",5616,5616,2691,47.9,2925,52.1,4181,74.4,3874,69.0,854,15.2,4181,4181,2103,50.3,2078,49.7,2016
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",3253,3253,1637,50.3,1616,49.7,2462,75.7,2370,72.9,679,20.9,2462,2462,1283,52.1,1179,47.9,2016
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",4870,4870,2352,48.3,2518,51.7,3341,68.6,3159,64.9,526,10.8,3341,3341,1688,50.5,1653,49.5,2016
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",2196,2196,1045,47.6,1151,52.4,1819,82.8,1746,79.5,595,27.1,1819,1819,855,47.0,964,53.0,2016
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",3230,3230,1673,51.8,1557,48.2,2570,79.6,2417,74.8,709,22.0,2570,2570,1368,53.2,1202,46.8,2016
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",4739,4739,2177,45.9,2562,54.1,3864,81.5,3633,76.7,915,19.3,3864,3864,1764,45.7,2100,54.3,2016
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",3336,3336,1687,50.6,1649,49.4,2741,82.2,2614,78.4,919,27.5,2741,2741,1316,48.0,1425,52.0,2016
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",3606,3606,1753,48.6,1853,51.4,2928,81.2,2815,78.1,856,23.7,2928,2928,1362,46.5,1566,53.5,2016
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",4190,4190,2050,48.9,2140,51.1,2989,71.3,2800,66.8,379,9.0,2989,2989,1490,49.8,1499,50.2,2016
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",2705,2705,1289,47.7,1416,52.3,2008,74.2,1962,72.5,357,13.2,2008,2008,927,46.2,1081,53.8,2016
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",3165,3165,1556,49.2,1609,50.8,2361,74.6,2196,69.4,312,9.9,2361,2361,1222,51.8,1139,48.2,2016
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",5618,5618,2643,47.0,2975,53.0,4245,75.6,4033,71.8,585,10.4,4245,4245,2048,48.2,2197,51.8,2016
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",2462,2462,1297,52.7,1165,47.3,2002,81.3,1911,77.6,549,22.3,2002,2002,1036,51.7,966,48.3,2016
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",3686,3686,1790,48.6,1896,51.4,2937,79.7,2751,74.6,820,22.2,2937,2937,1367,46.5,1570,53.5,2016
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",2945,2945,1460,49.6,1485,50.4,2461,83.6,2403,81.6,950,32.3,2461,2461,1202,48.8,1259,51.2,2016
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",1992,1992,951,47.7,1041,52.3,1463,73.4,1398,70.2,441,22.1,1463,1463,710,48.5,753,51.5,2016
1400000US06037108201,"Census Tract 1082.01, Los Angeles County, California",5827,5827,2931,50.3,2896,49.7,4309,73.9,4162,71.4,1138,19.5,4309,4309,2076,48.2,2233,51.8,2016
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",6270,6270,2893,46.1,3377,53.9,4833,77.1,4690,74.8,1452,23.2,4833,4833,2319,48.0,2514,52.0,2016
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",2757,2757,1452,52.7,1305,47.3,2241,81.3,2213,80.3,776,28.1,2241,2241,1188,53.0,1053,47.0,2016
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",2804,2804,1601,57.1,1203,42.9,2143,76.4,2091,74.6,393,14.0,2143,2143,1184,55.2,959,44.8,2016
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",3475,3475,1737,50.0,1738,50.0,2741,78.9,2639,75.9,642,18.5,2741,2741,1349,49.2,1392,50.8,2016
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",3434,3434,1775,51.7,1659,48.3,2744,79.9,2648,77.1,575,16.7,2744,2744,1401,51.1,1343,48.9,2016
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",4792,4792,2195,45.8,2597,54.2,3555,74.2,3273,68.3,610,12.7,3555,3555,1630,45.9,1925,54.1,2016
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",5388,5388,2745,50.9,2643,49.1,4177,77.5,3924,72.8,736,13.7,4177,4177,2208,52.9,1969,47.1,2016
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",4094,4094,1869,45.7,2225,54.3,3277,80.0,3130,76.5,625,15.3,3277,3277,1488,45.4,1789,54.6,2016
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",3090,3090,1586,51.3,1504,48.7,2482,80.3,2349,76.0,508,16.4,2482,2482,1281,51.6,1201,48.4,2016
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",4362,4362,2165,49.6,2197,50.4,3415,78.3,3313,76.0,738,16.9,3415,3415,1615,47.3,1800,52.7,2016
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",5100,5100,2506,49.1,2594,50.9,4099,80.4,3874,76.0,983,19.3,4099,4099,1999,48.8,2100,51.2,2016
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",3055,3055,1594,52.2,1461,47.8,2404,78.7,2279,74.6,577,18.9,2404,2404,1246,51.8,1158,48.2,2016
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",3306,3306,1484,44.9,1822,55.1,2673,80.9,2641,79.9,729,22.1,2673,2673,1177,44.0,1496,56.0,2016
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",5451,5451,2814,51.6,2637,48.4,4134,75.8,3844,70.5,1087,19.9,4134,4134,2042,49.4,2092,50.6,2016
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",6308,6308,3138,49.7,3170,50.3,5045,80.0,4767,75.6,1607,25.5,5045,5045,2489,49.3,2556,50.7,2016
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",4269,4269,2250,52.7,2019,47.3,3166,74.2,3011,70.5,684,16.0,3166,3166,1730,54.6,1436,45.4,2016
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",4742,4742,2421,51.1,2321,48.9,3867,81.5,3719,78.4,1245,26.3,3867,3867,1937,50.1,1930,49.9,2016
1400000US06037111301,"Census Tract 1113.01, Los Angeles County, California",7173,7173,3317,46.2,3856,53.8,5531,77.1,5270,73.5,918,12.8,5531,5531,2460,44.5,3071,55.5,2016
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",5313,5313,2605,49.0,2708,51.0,4499,84.7,4091,77.0,1159,21.8,4499,4499,2184,48.5,2315,51.5,2016
1400000US06037111400,"Census Tract 1114, Los Angeles County, California",7939,7939,3962,49.9,3977,50.1,6415,80.8,6192,78.0,1405,17.7,6415,6415,3258,50.8,3157,49.2,2016
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",3682,3682,1774,48.2,1908,51.8,3032,82.3,2818,76.5,1012,27.5,3032,3032,1429,47.1,1603,52.9,2016
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",3105,3105,1572,50.6,1533,49.4,2600,83.7,2479,79.8,802,25.8,2600,2600,1327,51.0,1273,49.0,2016
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",3888,3888,1837,47.2,2051,52.8,3224,82.9,3183,81.9,1149,29.6,3224,3224,1567,48.6,1657,51.4,2016
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",3349,3349,1584,47.3,1765,52.7,2757,82.3,2606,77.8,631,18.8,2757,2757,1359,49.3,1398,50.7,2016
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",4745,4745,2313,48.7,2432,51.3,3879,81.7,3648,76.9,945,19.9,3879,3879,2003,51.6,1876,48.4,2016
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",2239,2239,1162,51.9,1077,48.1,1763,78.7,1677,74.9,632,28.2,1763,1763,891,50.5,872,49.5,2016
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",4092,4092,1901,46.5,2191,53.5,3435,83.9,3367,82.3,1175,28.7,3435,3435,1564,45.5,1871,54.5,2016
1400000US06037113233,"Census Tract 1132.33, Los Angeles County, California",8106,8106,4089,50.4,4017,49.6,5696,70.3,5471,67.5,583,7.2,5696,5696,2919,51.2,2777,48.8,2016
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",4654,4654,2224,47.8,2430,52.2,3502,75.2,3365,72.3,817,17.6,3502,3502,1587,45.3,1915,54.7,2016
1400000US06037113235,"Census Tract 1132.35, Los Angeles County, California",1815,1815,995,54.8,820,45.2,1430,78.8,1363,75.1,287,15.8,1430,1430,730,51.0,700,49.0,2016
1400000US06037113237,"Census Tract 1132.37, Los Angeles County, California",3837,3837,1926,50.2,1911,49.8,3231,84.2,3078,80.2,1025,26.7,3231,3231,1627,50.4,1604,49.6,2016
1400000US06037113301,"Census Tract 1133.01, Los Angeles County, California",2397,2397,1278,53.3,1119,46.7,1921,80.1,1833,76.5,700,29.2,1921,1921,976,50.8,945,49.2,2016
1400000US06037113303,"Census Tract 1133.03, Los Angeles County, California",4110,4110,2043,49.7,2067,50.3,3284,79.9,3052,74.3,977,23.8,3284,3284,1574,47.9,1710,52.1,2016
1400000US06037113321,"Census Tract 1133.21, Los Angeles County, California",5661,5661,2714,47.9,2947,52.1,4563,80.6,4469,78.9,620,11.0,4563,4563,2228,48.8,2335,51.2,2016
1400000US06037113322,"Census Tract 1133.22, Los Angeles County, California",4176,4176,2189,52.4,1987,47.6,3609,86.4,3546,84.9,1135,27.2,3609,3609,1882,52.1,1727,47.9,2016
1400000US06037113401,"Census Tract 1134.01, Los Angeles County, California",5695,5695,2733,48.0,2962,52.0,4539,79.7,4258,74.8,1040,18.3,4539,4539,2245,49.5,2294,50.5,2016
1400000US06037113421,"Census Tract 1134.21, Los Angeles County, California",6618,6618,2923,44.2,3695,55.8,4873,73.6,4563,68.9,632,9.5,4873,4873,2108,43.3,2765,56.7,2016
1400000US06037113422,"Census Tract 1134.22, Los Angeles County, California",6516,6516,3273,50.2,3243,49.8,5338,81.9,5196,79.7,966,14.8,5338,5338,2481,46.5,2857,53.5,2016
1400000US06037115101,"Census Tract 1151.01, Los Angeles County, California",5210,5210,2425,46.5,2785,53.5,4236,81.3,4033,77.4,1532,29.4,4236,4236,1919,45.3,2317,54.7,2016
1400000US06037115103,"Census Tract 1151.03, Los Angeles County, California",3530,3530,1441,40.8,2089,59.2,3449,97.7,1231,34.9,11,0.3,3449,3449,1412,40.9,2037,59.1,2016
1400000US06037115104,"Census Tract 1151.04, Los Angeles County, California",4295,4295,2381,55.4,1914,44.6,3716,86.5,3071,71.5,587,13.7,3716,3716,1988,53.5,1728,46.5,2016
1400000US06037115201,"Census Tract 1152.01, Los Angeles County, California",6834,6834,3576,52.3,3258,47.7,5831,85.3,5328,78.0,992,14.5,5831,5831,3103,53.2,2728,46.8,2016
1400000US06037115202,"Census Tract 1152.02, Los Angeles County, California",5052,5052,2340,46.3,2712,53.7,4256,84.2,4000,79.2,698,13.8,4256,4256,1994,46.9,2262,53.1,2016
1400000US06037115301,"Census Tract 1153.01, Los Angeles County, California",4203,4203,2121,50.5,2082,49.5,3392,80.7,3214,76.5,1010,24.0,3392,3392,1596,47.1,1796,52.9,2016
1400000US06037115302,"Census Tract 1153.02, Los Angeles County, California",4357,4357,2158,49.5,2199,50.5,3045,69.9,2812,64.5,438,10.1,3045,3045,1524,50.0,1521,50.0,2016
1400000US06037115401,"Census Tract 1154.01, Los Angeles County, California",5985,5985,3120,52.1,2865,47.9,4388,73.3,4139,69.2,660,11.0,4388,4388,2247,51.2,2141,48.8,2016
1400000US06037115403,"Census Tract 1154.03, Los Angeles County, California",3644,3644,2005,55.0,1639,45.0,2826,77.6,2626,72.1,488,13.4,2826,2826,1513,53.5,1313,46.5,2016
1400000US06037115404,"Census Tract 1154.04, Los Angeles County, California",3005,3005,1538,51.2,1467,48.8,2263,75.3,2089,69.5,408,13.6,2263,2263,1211,53.5,1052,46.5,2016
1400000US06037117101,"Census Tract 1171.01, Los Angeles County, California",5131,5131,2663,51.9,2468,48.1,3957,77.1,3706,72.2,496,9.7,3957,3957,1980,50.0,1977,50.0,2016
1400000US06037117102,"Census Tract 1171.02, Los Angeles County, California",2826,2826,1552,54.9,1274,45.1,2272,80.4,2182,77.2,379,13.4,2272,2272,1216,53.5,1056,46.5,2016
1400000US06037117201,"Census Tract 1172.01, Los Angeles County, California",4626,4626,2338,50.5,2288,49.5,3218,69.6,2932,63.4,574,12.4,3218,3218,1596,49.6,1622,50.4,2016
1400000US06037117202,"Census Tract 1172.02, Los Angeles County, California",2594,2594,1358,52.4,1236,47.6,2112,81.4,2019,77.8,567,21.9,2112,2112,1073,50.8,1039,49.2,2016
1400000US06037117301,"Census Tract 1173.01, Los Angeles County, California",3944,3944,1830,46.4,2114,53.6,3184,80.7,3079,78.1,756,19.2,3184,3184,1534,48.2,1650,51.8,2016
1400000US06037117302,"Census Tract 1173.02, Los Angeles County, California",5290,5290,2544,48.1,2746,51.9,4074,77.0,3957,74.8,1013,19.1,4074,4074,1953,47.9,2121,52.1,2016
1400000US06037117303,"Census Tract 1173.03, Los Angeles County, California",3520,3520,1735,49.3,1785,50.7,2883,81.9,2703,76.8,638,18.1,2883,2883,1451,50.3,1432,49.7,2016
1400000US06037117404,"Census Tract 1174.04, Los Angeles County, California",4526,4526,2121,46.9,2405,53.1,3648,80.6,3438,76.0,695,15.4,3648,3648,1656,45.4,1992,54.6,2016
1400000US06037117405,"Census Tract 1174.05, Los Angeles County, California",3615,3615,1960,54.2,1655,45.8,2475,68.5,2196,60.7,119,3.3,2475,2475,1306,52.8,1169,47.2,2016
1400000US06037117407,"Census Tract 1174.07, Los Angeles County, California",3829,3829,1878,49.0,1951,51.0,2478,64.7,2297,60.0,166,4.3,2478,2478,1197,48.3,1281,51.7,2016
1400000US06037117408,"Census Tract 1174.08, Los Angeles County, California",3270,3270,1579,48.3,1691,51.7,2170,66.4,1994,61.0,175,5.4,2170,2170,1063,49.0,1107,51.0,2016
1400000US06037117510,"Census Tract 1175.10, Los Angeles County, California",3834,3834,1835,47.9,1999,52.1,2478,64.6,2328,60.7,193,5.0,2478,2478,1190,48.0,1288,52.0,2016
1400000US06037117520,"Census Tract 1175.20, Los Angeles County, California",4102,4102,2015,49.1,2087,50.9,2609,63.6,2370,57.8,217,5.3,2609,2609,1243,47.6,1366,52.4,2016
1400000US06037117530,"Census Tract 1175.30, Los Angeles County, California",6469,6469,3113,48.1,3356,51.9,4409,68.2,4038,62.4,466,7.2,4409,4409,2045,46.4,2364,53.6,2016
1400000US06037119001,"Census Tract 1190.01, Los Angeles County, California",4185,4185,2033,48.6,2152,51.4,3142,75.1,2926,69.9,582,13.9,3142,3142,1490,47.4,1652,52.6,2016
1400000US06037119002,"Census Tract 1190.02, Los Angeles County, California",6794,6794,3408,50.2,3386,49.8,5392,79.4,5115,75.3,1015,14.9,5392,5392,2773,51.4,2619,48.6,2016
1400000US06037119201,"Census Tract 1192.01, Los Angeles County, California",4107,4107,2116,51.5,1991,48.5,3090,75.2,2818,68.6,515,12.5,3090,3090,1585,51.3,1505,48.7,2016
1400000US06037119202,"Census Tract 1192.02, Los Angeles County, California",4366,4366,2279,52.2,2087,47.8,3298,75.5,3198,73.2,548,12.6,3298,3298,1699,51.5,1599,48.5,2016
1400000US06037119310,"Census Tract 1193.10, Los Angeles County, California",4087,4087,2087,51.1,2000,48.9,3173,77.6,2900,71.0,705,17.2,3173,3173,1543,48.6,1630,51.4,2016
1400000US06037119320,"Census Tract 1193.20, Los Angeles County, California",4824,4824,2229,46.2,2595,53.8,3272,67.8,3087,64.0,425,8.8,3272,3272,1457,44.5,1815,55.5,2016
1400000US06037119340,"Census Tract 1193.40, Los Angeles County, California",3965,3965,1910,48.2,2055,51.8,2413,60.9,2273,57.3,213,5.4,2413,2413,1225,50.8,1188,49.2,2016
1400000US06037119341,"Census Tract 1193.41, Los Angeles County, California",2767,2767,1334,48.2,1433,51.8,2182,78.9,1984,71.7,470,17.0,2182,2182,1019,46.7,1163,53.3,2016
1400000US06037119342,"Census Tract 1193.42, Los Angeles County, California",3275,3275,1651,50.4,1624,49.6,2306,70.4,2161,66.0,223,6.8,2306,2306,1075,46.6,1231,53.4,2016
1400000US06037119400,"Census Tract 1194, Los Angeles County, California",5275,5275,2720,51.6,2555,48.4,4206,79.7,4079,77.3,735,13.9,4206,4206,2168,51.5,2038,48.5,2016
1400000US06037119700,"Census Tract 1197, Los Angeles County, California",4866,4866,2176,44.7,2690,55.3,3762,77.3,3563,73.2,657,13.5,3762,3762,1662,44.2,2100,55.8,2016
1400000US06037119800,"Census Tract 1198, Los Angeles County, California",6140,6140,3083,50.2,3057,49.8,4852,79.0,4513,73.5,768,12.5,4852,4852,2453,50.6,2399,49.4,2016
