GeoID,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Percent!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!18 years and over,Percent!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Percent!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Percent!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!18 years and over.1,Percent!!SEX AND AGE!!18 years and over.1,Estimate!!SEX AND AGE!!18 years and over!!Male,Percent!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Percent!!SEX AND AGE!!18 years and over!!Female,year
0500000US06037,"Los Angeles County, California",10057155,10057155,4954616,49.3,5102539,50.7,7760370,77.2,7326002,72.8,1521207,15.1,7760370,7760370,3780862,48.7,3979508,51.3,2016
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",4667,4667,2274,48.7,2393,51.3,3647,78.1,3501,75.0,786,16.8,3647,3647,1731,47.5,1916,52.5,2016
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",3301,3301,1606,48.7,1695,51.3,2811,85.2,2792,84.6,801,24.3,2811,2811,1443,51.3,1368,48.7,2016
1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",5791,5791,2964,51.2,2827,48.8,4521,78.1,4295,74.2,661,11.4,4521,4521,2327,51.5,2194,48.5,2016
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",3167,3167,1461,46.1,1706,53.9,2464,77.8,2409,76.1,585,18.5,2464,2464,1101,44.7,1363,55.3,2016
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",4238,4238,2003,47.3,2235,52.7,3790,89.4,3742,88.3,1160,27.4,3790,3790,1758,46.4,2032,53.6,2016
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",4231,4231,2014,47.6,2217,52.4,3428,81.0,3267,77.2,851,20.1,3428,3428,1696,49.5,1732,50.5,2016
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",1870,1870,892,47.7,978,52.3,1646,88.0,1616,86.4,386,20.6,1646,1646,806,49.0,840,51.0,2016
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",3578,3578,1677,46.9,1901,53.1,3142,87.8,2926,81.8,810,22.6,3142,3142,1420,45.2,1722,54.8,2016
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",1949,1949,974,50.0,975,50.0,1623,83.3,1494,76.7,200,10.3,1623,1623,818,50.4,805,49.6,2016
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",3950,3950,2022,51.2,1928,48.8,3173,80.3,3015,76.3,950,24.1,3173,3173,1623,51.2,1550,48.8,2016
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",2734,2734,1450,53.0,1284,47.0,2264,82.8,2190,80.1,560,20.5,2264,2264,1148,50.7,1116,49.3,2016
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",4632,4632,2016,43.5,2616,56.5,3736,80.7,3643,78.6,897,19.4,3736,3736,1573,42.1,2163,57.9,2016
1400000US06037103200,"Census Tract 1032, Los Angeles County, California",6193,6193,3354,54.2,2839,45.8,5187,83.8,5054,81.6,1524,24.6,5187,5187,2811,54.2,2376,45.8,2016
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",3137,3137,1510,48.1,1627,51.9,2670,85.1,2600,82.9,702,22.4,2670,2670,1212,45.4,1458,54.6,2016
1400000US06037103400,"Census Tract 1034, Los Angeles County, California",6542,6542,3323,50.8,3219,49.2,5464,83.5,5214,79.7,1426,21.8,5464,5464,2638,48.3,2826,51.7,2016
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",3861,3861,1888,48.9,1973,51.1,2968,76.9,2714,70.3,621,16.1,2968,2968,1478,49.8,1490,50.2,2016
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",5879,5879,2750,46.8,3129,53.2,4180,71.1,3830,65.1,662,11.3,4180,4180,2029,48.5,2151,51.5,2016
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",4895,4895,2332,47.6,2563,52.4,3706,75.7,3446,70.4,611,12.5,3706,3706,1827,49.3,1879,50.7,2016
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",4379,4379,2248,51.3,2131,48.7,3543,80.9,3233,73.8,757,17.3,3543,3543,1777,50.2,1766,49.8,2016
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",4624,4624,2349,50.8,2275,49.2,3322,71.8,3097,67.0,440,9.5,3322,3322,1627,49.0,1695,51.0,2016
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",4880,4880,2378,48.7,2502,51.3,3290,67.4,3140,64.3,470,9.6,3290,3290,1640,49.8,1650,50.2,2016
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",3417,3417,1831,53.6,1586,46.4,2697,78.9,2584,75.6,443,13.0,2697,2697,1437,53.3,1260,46.7,2016
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",4974,4974,2535,51.0,2439,49.0,3605,72.5,3405,68.5,582,11.7,3605,3605,1908,52.9,1697,47.1,2016
1400000US06037104320,"Census Tract 1043.20, Los Angeles County, California",5794,5794,2995,51.7,2799,48.3,4532,78.2,4220,72.8,582,10.0,4532,4532,2335,51.5,2197,48.5,2016
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",3833,3833,2004,52.3,1829,47.7,2699,70.4,2542,66.3,321,8.4,2699,2699,1436,53.2,1263,46.8,2016
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",2932,2932,1411,48.1,1521,51.9,2234,76.2,2109,71.9,440,15.0,2234,2234,1166,52.2,1068,47.8,2016
