GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",119875,2022
1400000US06037109400,Census Tract 1094; Los Angeles County; California,110174,2022
1400000US06037109500,Census Tract 1095; Los Angeles County; California,74977,2022
1400000US06037109601,Census Tract 1096.01; Los Angeles County; California,117126,2022
1400000US06037109603,Census Tract 1096.03; Los Angeles County; California,110826,2022
1400000US06037109604,Census Tract 1096.04; Los Angeles County; California,104164,2022
1400000US06037109700,Census Tract 1097; Los Angeles County; California,120901,2022
1400000US06037109800,Census Tract 1098; Los Angeles County; California,110250,2022
1400000US06037111100,Census Tract 1111; Los Angeles County; California,143690,2022
1400000US06037111201,Census Tract 1112.01; Los Angeles County; California,185690,2022
1400000US06037111202,Census Tract 1112.02; Los Angeles County; California,125596,2022
1400000US06037111204,Census Tract 1112.04; Los Angeles County; California,185275,2022
1400000US06037111205,Census Tract 1112.05; Los Angeles County; California,133665,2022
1400000US06037111206,Census Tract 1112.06; Los Angeles County; California,174205,2022
1400000US06037111302,Census Tract 1113.02; Los Angeles County; California,112194,2022
1400000US06037111303,Census Tract 1113.03; Los Angeles County; California,112081,2022
1400000US06037111304,Census Tract 1113.04; Los Angeles County; California,54974,2022
1400000US06037111401,Census Tract 1114.01; Los Angeles County; California,132821,2022
1400000US06037111402,Census Tract 1114.02; Los Angeles County; California,74481,2022
1400000US06037113101,Census Tract 1131.01; Los Angeles County; California,138374,2022
1400000US06037113102,Census Tract 1131.02; Los Angeles County; California,234721,2022
1400000US06037113211,Census Tract 1132.11; Los Angeles County; California,126969,2022
1400000US06037113212,Census Tract 1132.12; Los Angeles County; California,115007,2022
1400000US06037113213,Census Tract 1132.13; Los Angeles County; California,131246,2022
1400000US06037113231,Census Tract 1132.31; Los Angeles County; California,150496,2022
1400000US06037113232,Census Tract 1132.32; Los Angeles County; California,161055,2022
1400000US06037113234,Census Tract 1132.34; Los Angeles County; California,100801,2022
1400000US06037113235,Census Tract 1132.35; Los Angeles County; California,114257,2022
1400000US06037113237,Census Tract 1132.37; Los Angeles County; California,155015,2022
1400000US06037113238,Census Tract 1132.38; Los Angeles County; California,95734,2022
1400000US06037113239,Census Tract 1132.39; Los Angeles County; California,63225,2022
1400000US06037113301,Census Tract 1133.01; Los Angeles County; California,163348,2022
1400000US06037113303,Census Tract 1133.03; Los Angeles County; California,134912,2022
1400000US06037113322,Census Tract 1133.22; Los Angeles County; California,140914,2022
1400000US06037113323,Census Tract 1133.23; Los Angeles County; California,100495,2022
1400000US06037113324,Census Tract 1133.24; Los Angeles County; California,98452,2022
1400000US06037113423,Census Tract 1134.23; Los Angeles County; California,123876,2022
1400000US06037113424,Census Tract 1134.24; Los Angeles County; California,108856,2022
1400000US06037113425,Census Tract 1134.25; Los Angeles County; California,67938,2022
1400000US06037113426,Census Tract 1134.26; Los Angeles County; California,97779,2022
1400000US06037113427,Census Tract 1134.27; Los Angeles County; California,80700,2022
1400000US06037113428,Census Tract 1134.28; Los Angeles County; California,205739,2022
1400000US06037115101,Census Tract 1151.01; Los Angeles County; California,161961,2022
1400000US06037115103,Census Tract 1151.03; Los Angeles County; California,N,2022
1400000US06037115104,Census Tract 1151.04; Los Angeles County; California,103950,2022
1400000US06037115202,Census Tract 1152.02; Los Angeles County; California,89044,2022
1400000US06037115203,Census Tract 1152.03; Los Angeles County; California,133723,2022
1400000US06037115204,Census Tract 1152.04; Los Angeles County; California,106422,2022
1400000US06037115301,Census Tract 1153.01; Los Angeles County; California,129775,2022
1400000US06037115302,Census Tract 1153.02; Los Angeles County; California,83873,2022
1400000US06037115401,Census Tract 1154.01; Los Angeles County; California,89550,2022
1400000US06037115403,Census Tract 1154.03; Los Angeles County; California,96293,2022
1400000US06037115404,Census Tract 1154.04; Los Angeles County; California,107132,2022
1400000US06037117101,Census Tract 1171.01; Los Angeles County; California,105353,2022
1400000US06037117102,Census Tract 1171.02; Los Angeles County; California,89047,2022
1400000US06037117201,Census Tract 1172.01; Los Angeles County; California,75566,2022
1400000US06037117202,Census Tract 1172.02; Los Angeles County; California,131893,2022
1400000US06037117301,Census Tract 1173.01; Los Angeles County; California,135269,2022
1400000US06037117302,Census Tract 1173.02; Los Angeles County; California,135859,2022
1400000US06037117303,Census Tract 1173.03; Los Angeles County; California,131558,2022
1400000US06037117404,Census Tract 1174.04; Los Angeles County; California,143515,2022
1400000US06037117405,Census Tract 1174.05; Los Angeles County; California,50929,2022
1400000US06037117407,Census Tract 1174.07; Los Angeles County; California,51989,2022
1400000US06037117408,Census Tract 1174.08; Los Angeles County; California,62074,2022
1400000US06037117510,Census Tract 1175.10; Los Angeles County; California,108524,2022
1400000US06037117520,Census Tract 1175.20; Los Angeles County; California,77246,2022
1400000US06037117530,Census Tract 1175.30; Los Angeles County; California,81666,2022
1400000US06037119001,Census Tract 1190.01; Los Angeles County; California,114594,2022
1400000US06037119003,Census Tract 1190.03; Los Angeles County; California,117106,2022
1400000US06037119004,Census Tract 1190.04; Los Angeles County; California,95450,2022
1400000US06037119201,Census Tract 1192.01; Los Angeles County; California,112477,2022
1400000US06037119202,Census Tract 1192.02; Los Angeles County; California,91180,2022
1400000US06037119310,Census Tract 1193.10; Los Angeles County; California,99414,2022
1400000US06037119320,Census Tract 1193.20; Los Angeles County; California,92280,2022
1400000US06037119340,Census Tract 1193.40; Los Angeles County; California,53490,2022
1400000US06037119341,Census Tract 1193.41; Los Angeles County; California,75141,2022
1400000US06037119342,Census Tract 1193.42; Los Angeles County; California,84475,2022
1400000US06037119400,Census Tract 1194; Los Angeles County; California,111529,2022
1400000US06037119700,Census Tract 1197; Los Angeles County; California,126488,2022
1400000US06037119801,Census Tract 1198.01; Los Angeles County; California,106397,2022
1400000US06037119802,Census Tract 1198.02; Los Angeles County; California,92198,2022
1400000US06037119900,Census Tract 1199; Los Angeles County; California,97607,2022
1400000US06037120010,Census Tract 1200.10; Los Angeles County; California,79620,2022
1400000US06037120020,Census Tract 1200.20; Los Angeles County; California,58371,2022
1400000US06037120030,Census Tract 1200.30; Los Angeles County; California,50832,2022
1400000US06037120103,Census Tract 1201.03; Los Angeles County; California,45741,2022
1400000US06037120104,Census Tract 1201.04; Los Angeles County; California,63974,2022
1400000US06037120105,Census Tract 1201.05; Los Angeles County; California,69355,2022
1400000US06037120106,Census Tract 1201.06; Los Angeles County; California,64577,2022
1400000US06037120107,Census Tract 1201.07; Los Angeles County; California,46161,2022
1400000US06037120108,Census Tract 1201.08; Los Angeles County; California,71423,2022
1400000US06037120300,Census Tract 1203; Los Angeles County; California,87748,2022
1400000US06037120400,Census Tract 1204; Los Angeles County; California,84335,2022
1400000US06037121010,Census Tract 1210.10; Los Angeles County; California,104474,2022
1400000US06037121020,Census Tract 1210.20; Los Angeles County; California,87760,2022
1400000US06037121101,Census Tract 1211.01; Los Angeles County; California,89315,2022
1400000US06037121102,Census Tract 1211.02; Los Angeles County; California,84533,2022
1400000US06037121210,Census Tract 1212.10; Los Angeles County; California,90421,2022
1400000US06037121221,Census Tract 1212.21; Los Angeles County; California,96841,2022
1400000US06037121222,Census Tract 1212.22; Los Angeles County; California,90367,2022
1400000US06037121600,Census Tract 1216; Los Angeles County; California,122108,2022
1400000US06037121801,Census Tract 1218.01; Los Angeles County; California,68503,2022
1400000US06037121802,Census Tract 1218.02; Los Angeles County; California,97777,2022
1400000US06037121900,Census Tract 1219; Los Angeles County; California,74904,2022
1400000US06037122000,Census Tract 1220; Los Angeles County; California,133606,2022
1400000US06037122120,Census Tract 1221.20; Los Angeles County; California,83202,2022
1400000US06037122121,Census Tract 1221.21; Los Angeles County; California,74450,2022
1400000US06037122122,Census Tract 1221.22; Los Angeles County; California,54307,2022
1400000US06037122200,Census Tract 1222; Los Angeles County; California,83115,2022
1400000US06037122410,Census Tract 1224.10; Los Angeles County; California,93363,2022
1400000US06037122420,Census Tract 1224.20; Los Angeles County; California,96144,2022
1400000US06037123010,Census Tract 1230.10; Los Angeles County; California,69519,2022
