GeoID,Geographic Area Name,Estimate!!INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),year
0500000US06037,"Los Angeles County, California",103324,2020
1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",86881,2020
1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",111773,2020
1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",87344,2020
1400000US06037101221,"Census Tract 1012.21, Los Angeles County, California",72856,2020
1400000US06037101222,"Census Tract 1012.22, Los Angeles County, California",51609,2020
1400000US06037101300,"Census Tract 1013, Los Angeles County, California",101398,2020
1400000US06037101400,"Census Tract 1014, Los Angeles County, California",90208,2020
1400000US06037102103,"Census Tract 1021.03, Los Angeles County, California",82466,2020
1400000US06037102104,"Census Tract 1021.04, Los Angeles County, California",122657,2020
1400000US06037102105,"Census Tract 1021.05, Los Angeles County, California",97081,2020
1400000US06037102107,"Census Tract 1021.07, Los Angeles County, California",96850,2020
1400000US06037103101,"Census Tract 1031.01, Los Angeles County, California",110280,2020
1400000US06037103102,"Census Tract 1031.02, Los Angeles County, California",94901,2020
1400000US06037103201,"Census Tract 1032.01, Los Angeles County, California",97884,2020
1400000US06037103202,"Census Tract 1032.02, Los Angeles County, California",118184,2020
1400000US06037103300,"Census Tract 1033, Los Angeles County, California",150462,2020
1400000US06037103401,"Census Tract 1034.01, Los Angeles County, California",114712,2020
1400000US06037103402,"Census Tract 1034.02, Los Angeles County, California",110548,2020
1400000US06037104103,"Census Tract 1041.03, Los Angeles County, California",102895,2020
1400000US06037104105,"Census Tract 1041.05, Los Angeles County, California",75319,2020
1400000US06037104108,"Census Tract 1041.08, Los Angeles County, California",75971,2020
1400000US06037104124,"Census Tract 1041.24, Los Angeles County, California",83906,2020
1400000US06037104201,"Census Tract 1042.01, Los Angeles County, California",75295,2020
1400000US06037104203,"Census Tract 1042.03, Los Angeles County, California",68142,2020
1400000US06037104204,"Census Tract 1042.04, Los Angeles County, California",81862,2020
1400000US06037104310,"Census Tract 1043.10, Los Angeles County, California",103691,2020
1400000US06037104321,"Census Tract 1043.21, Los Angeles County, California",81504,2020
1400000US06037104322,"Census Tract 1043.22, Los Angeles County, California",82708,2020
1400000US06037104401,"Census Tract 1044.01, Los Angeles County, California",71267,2020
1400000US06037104403,"Census Tract 1044.03, Los Angeles County, California",77935,2020
1400000US06037104404,"Census Tract 1044.04, Los Angeles County, California",68794,2020
1400000US06037104500,"Census Tract 1045, Los Angeles County, California",64173,2020
1400000US06037104610,"Census Tract 1046.10, Los Angeles County, California",76297,2020
1400000US06037104620,"Census Tract 1046.20, Los Angeles County, California",81661,2020
1400000US06037104701,"Census Tract 1047.01, Los Angeles County, California",48596,2020
1400000US06037104703,"Census Tract 1047.03, Los Angeles County, California",60723,2020
1400000US06037104704,"Census Tract 1047.04, Los Angeles County, California",69542,2020
1400000US06037104821,"Census Tract 1048.21, Los Angeles County, California",70477,2020
1400000US06037104822,"Census Tract 1048.22, Los Angeles County, California",76034,2020
1400000US06037104823,"Census Tract 1048.23, Los Angeles County, California",89879,2020
1400000US06037104824,"Census Tract 1048.24, Los Angeles County, California",101475,2020
1400000US06037106010,"Census Tract 1060.10, Los Angeles County, California",118751,2020
1400000US06037106020,"Census Tract 1060.20, Los Angeles County, California",93357,2020
1400000US06037106111,"Census Tract 1061.11, Los Angeles County, California",113536,2020
1400000US06037106112,"Census Tract 1061.12, Los Angeles County, California",99888,2020
1400000US06037106113,"Census Tract 1061.13, Los Angeles County, California",101761,2020
1400000US06037106114,"Census Tract 1061.14, Los Angeles County, California",76926,2020
